states,solutions,paths,times,num_nodes_generated
<environments.cube2.Cube2State object at 0x7f72adb75b40>,"[1, 9, 11, 5, 8, 0, 5, 11, 9, 3]","[<environments.cube2.Cube2State object at 0x7f72adb75b40>, <environments.cube2.Cube2State object at 0x7f72ada35820>, <environments.cube2.Cube2State object at 0x7f72ada35960>, <environments.cube2.Cube2State object at 0x7f72ada35aa0>, <environments.cube2.Cube2State object at 0x7f72ada35be0>, <environments.cube2.Cube2State object at 0x7f72ada35d20>, <environments.cube2.Cube2State object at 0x7f72ada35e60>, <environments.cube2.Cube2State object at 0x7f72ada35fa0>, <environments.cube2.Cube2State object at 0x7f72ada39140>, <environments.cube2.Cube2State object at 0x7f72ada39280>, <environments.cube2.Cube2State object at 0x7f72ada393c0>]",22.67237162590027,811092
<environments.cube2.Cube2State object at 0x7f72adb75c30>,"[3, 11, 2, 6, 1, 6, 0, 4, 2, 0]","[<environments.cube2.Cube2State object at 0x7f72adb75c30>, <environments.cube2.Cube2State object at 0x7f72ada39550>, <environments.cube2.Cube2State object at 0x7f72ada39690>, <environments.cube2.Cube2State object at 0x7f72ada397d0>, <environments.cube2.Cube2State object at 0x7f72ada39910>, <environments.cube2.Cube2State object at 0x7f72ada39a50>, <environments.cube2.Cube2State object at 0x7f72ada39b90>, <environments.cube2.Cube2State object at 0x7f72ada39cd0>, <environments.cube2.Cube2State object at 0x7f72ada39e10>, <environments.cube2.Cube2State object at 0x7f72ada39f50>, <environments.cube2.Cube2State object at 0x7f72ada3c0f0>]",26.391033411026,811092
<environments.cube2.Cube2State object at 0x7f72adb75d20>,"[10, 5, 2, 10, 1, 4, 2, 2, 5, 3]","[<environments.cube2.Cube2State object at 0x7f72adb75d20>, <environments.cube2.Cube2State object at 0x7f72ada3c280>, <environments.cube2.Cube2State object at 0x7f72ada3c3c0>, <environments.cube2.Cube2State object at 0x7f72ada3c500>, <environments.cube2.Cube2State object at 0x7f72ada3c640>, <environments.cube2.Cube2State object at 0x7f72ada3c780>, <environments.cube2.Cube2State object at 0x7f72ada3c8c0>, <environments.cube2.Cube2State object at 0x7f72ada3ca00>, <environments.cube2.Cube2State object at 0x7f72ada3cb40>, <environments.cube2.Cube2State object at 0x7f72ada3cc80>, <environments.cube2.Cube2State object at 0x7f72ada3cdc0>]",23.993083953857422,811092
<environments.cube2.Cube2State object at 0x7f72adb75e10>,"[10, 2, 2, 7, 11, 4, 9, 4]","[<environments.cube2.Cube2State object at 0x7f72adb75e10>, <environments.cube2.Cube2State object at 0x7f72ada3cf50>, <environments.cube2.Cube2State object at 0x7f72ada3f0f0>, <environments.cube2.Cube2State object at 0x7f72ada3f230>, <environments.cube2.Cube2State object at 0x7f72ada3f370>, <environments.cube2.Cube2State object at 0x7f72ada3f4b0>, <environments.cube2.Cube2State object at 0x7f72ada3f5f0>, <environments.cube2.Cube2State object at 0x7f72ada3f730>, <environments.cube2.Cube2State object at 0x7f72ada3f870>]",17.348424911499023,571092
<environments.cube2.Cube2State object at 0x7f72adb75f00>,"[2, 7, 8, 2, 11, 2, 11, 11, 3, 9]","[<environments.cube2.Cube2State object at 0x7f72adb75f00>, <environments.cube2.Cube2State object at 0x7f72ada3fa00>, <environments.cube2.Cube2State object at 0x7f72ada3fb40>, <environments.cube2.Cube2State object at 0x7f72ada3fc80>, <environments.cube2.Cube2State object at 0x7f72ada3fdc0>, <environments.cube2.Cube2State object at 0x7f72ada3ff00>, <environments.cube2.Cube2State object at 0x7f72ada410a0>, <environments.cube2.Cube2State object at 0x7f72ada411e0>, <environments.cube2.Cube2State object at 0x7f72ada41320>, <environments.cube2.Cube2State object at 0x7f72ada41460>, <environments.cube2.Cube2State object at 0x7f72ada415a0>]",23.42331099510193,811092
<environments.cube2.Cube2State object at 0x7f72adb78050>,"[5, 5, 3, 11, 11, 2, 11, 9]","[<environments.cube2.Cube2State object at 0x7f72adb78050>, <environments.cube2.Cube2State object at 0x7f72ada41730>, <environments.cube2.Cube2State object at 0x7f72ada41870>, <environments.cube2.Cube2State object at 0x7f72ada419b0>, <environments.cube2.Cube2State object at 0x7f72ada41af0>, <environments.cube2.Cube2State object at 0x7f72ada41c30>, <environments.cube2.Cube2State object at 0x7f72ada41d70>, <environments.cube2.Cube2State object at 0x7f72ada41eb0>, <environments.cube2.Cube2State object at 0x7f72ad9c4050>]",18.153700590133667,571092
<environments.cube2.Cube2State object at 0x7f72adb78140>,"[8, 10, 2, 5, 2, 10, 8, 3, 1, 7, 9, 0]","[<environments.cube2.Cube2State object at 0x7f72adb78140>, <environments.cube2.Cube2State object at 0x7f72ad9c41e0>, <environments.cube2.Cube2State object at 0x7f72ad9c4320>, <environments.cube2.Cube2State object at 0x7f72ad9c4460>, <environments.cube2.Cube2State object at 0x7f72ad9c45a0>, <environments.cube2.Cube2State object at 0x7f72ad9c46e0>, <environments.cube2.Cube2State object at 0x7f72ad9c4820>, <environments.cube2.Cube2State object at 0x7f72ad9c4960>, <environments.cube2.Cube2State object at 0x7f72ad9c4aa0>, <environments.cube2.Cube2State object at 0x7f72ad9c4be0>, <environments.cube2.Cube2State object at 0x7f72ad9c4d20>, <environments.cube2.Cube2State object at 0x7f72ad9c4e60>, <environments.cube2.Cube2State object at 0x7f72ad9c4fa0>]",29.85523223876953,1051092
<environments.cube2.Cube2State object at 0x7f72adb78280>,"[0, 7, 3, 11, 2, 11, 3, 3, 10, 5]","[<environments.cube2.Cube2State object at 0x7f72adb78280>, <environments.cube2.Cube2State object at 0x7f72ad9c7190>, <environments.cube2.Cube2State object at 0x7f72ad9c72d0>, <environments.cube2.Cube2State object at 0x7f72ad9c7410>, <environments.cube2.Cube2State object at 0x7f72ad9c7550>, <environments.cube2.Cube2State object at 0x7f72ad9c7690>, <environments.cube2.Cube2State object at 0x7f72ad9c77d0>, <environments.cube2.Cube2State object at 0x7f72ad9c7910>, <environments.cube2.Cube2State object at 0x7f72ad9c7a50>, <environments.cube2.Cube2State object at 0x7f72ad9c7b90>, <environments.cube2.Cube2State object at 0x7f72ad9c7cd0>]",22.241096019744873,811092
<environments.cube2.Cube2State object at 0x7f72adb783c0>,"[6, 1, 4, 9, 1, 1, 5, 7, 3, 1, 9, 0]","[<environments.cube2.Cube2State object at 0x7f72adb783c0>, <environments.cube2.Cube2State object at 0x7f72ad9c7e60>, <environments.cube2.Cube2State object at 0x7f72ad9c7fa0>, <environments.cube2.Cube2State object at 0x7f72ad9c9140>, <environments.cube2.Cube2State object at 0x7f72ad9c9280>, <environments.cube2.Cube2State object at 0x7f72ad9c93c0>, <environments.cube2.Cube2State object at 0x7f72ad9c9500>, <environments.cube2.Cube2State object at 0x7f72ad9c9640>, <environments.cube2.Cube2State object at 0x7f72ad9c9780>, <environments.cube2.Cube2State object at 0x7f72ad9c98c0>, <environments.cube2.Cube2State object at 0x7f72ad9c9a00>, <environments.cube2.Cube2State object at 0x7f72ad9c9b40>, <environments.cube2.Cube2State object at 0x7f72ad9c9c80>]",31.754663228988647,1051092
<environments.cube2.Cube2State object at 0x7f72adb78500>,"[1, 9, 6, 9, 2, 5, 2, 7, 11, 4, 2, 0]","[<environments.cube2.Cube2State object at 0x7f72adb78500>, <environments.cube2.Cube2State object at 0x7f72ad9c9e10>, <environments.cube2.Cube2State object at 0x7f72ad9c9f50>, <environments.cube2.Cube2State object at 0x7f72ad9cd0f0>, <environments.cube2.Cube2State object at 0x7f72ad9cd230>, <environments.cube2.Cube2State object at 0x7f72ad9cd370>, <environments.cube2.Cube2State object at 0x7f72ad9cd4b0>, <environments.cube2.Cube2State object at 0x7f72ad9cd5f0>, <environments.cube2.Cube2State object at 0x7f72ad9cd730>, <environments.cube2.Cube2State object at 0x7f72ad9cd870>, <environments.cube2.Cube2State object at 0x7f72ad9cd9b0>, <environments.cube2.Cube2State object at 0x7f72ad9cdaf0>, <environments.cube2.Cube2State object at 0x7f72ad9cdc30>]",30.076035976409912,1051092
